,Open Bid_x,Open Bid_y,weekday_y,Long Swap USDPLN,Short Swap USDPLN
2005-08-27,3.51,4.48,5,-8.438038925843803e-06,5.386105059307674e-06
2005-08-28,3.51,4.48,6,-8.438038925843803e-06,5.386105059307674e-06
2005-08-29,3.53,4.56,0,-7.542310522442974e-06,5.870249334301624e-06
2005-08-30,3.47,4.53,1,-7.5192642306736176e-06,5.835156819839532e-06
2005-08-31,3.51,4.5,2,-2.198817442719882e-05,1.695842450765865e-05
2005-09-01,3.46,4.48,3,-7.2869955156950666e-06,5.60428849902534e-06
2005-09-02,3.49,4.45,4,-6.6815144766146985e-06,5.204550956184945e-06
2005-09-03,3.5,4.43,5,-6.851851851851856e-06,5.155264434740415e-06
2005-09-04,3.5,4.36,6,-7.716049382716046e-06,4.730713245997091e-06
2005-09-05,3.5,4.4,0,-6.790123456790124e-06,5.1169590643274825e-06
2005-09-06,3.46,4.47,1,-6.91330343796712e-06,5.543372319688106e-06
2005-09-07,3.51,4.46,2,-1.9586104951958618e-05,1.5795206971677556e-05
2005-09-08,3.52,4.41,3,-6.575712881022618e-06,4.749879749879751e-06
2005-09-09,3.54,4.43,4,-6.669114047968673e-06,4.729406130268195e-06
2005-09-10,3.58,4.33,5,-6.853469189713733e-06,3.993800667620407e-06
2005-09-11,3.58,4.33,6,-6.853469189713733e-06,3.993800667620407e-06
2005-09-12,3.53,4.45,0,-6.254598969830759e-06,5.132850241545898e-06
2005-09-13,3.59,4.4,1,-6.112321471798595e-06,4.205164652925851e-06
2005-09-14,3.62,4.4,2,-1.7496392496392494e-05,1.2005649717514111e-05
2005-09-15,3.69,4.38,3,-5.212035062781339e-06,3.42147993504987e-06
2005-09-16,3.69,4.42,4,-5.389718076285244e-06,3.6534446764091875e-06
2005-09-17,3.71,4.32,5,-5.9565935362113696e-06,3.3333333333333363e-06
2005-09-18,3.68,4.32,6,-6.1728395061728425e-06,3.138075313807535e-06
2005-09-19,3.72,4.41,0,-5.178907721280595e-06,3.465003465003465e-06
2005-09-20,3.69,4.41,1,-5.389718076285244e-06,3.59545349106936e-06
2005-09-21,3.68,4.41,2,-1.6025641025641022e-05,1.0983263598326372e-05
2005-09-22,3.76,4.39,3,-4.610177404295053e-06,3.0927835051546407e-06
2005-09-23,3.74,4.31,4,-4.512423816221282e-06,2.7605244996549336e-06
2005-09-24,3.78,4.37,5,-5.695025569502559e-06,3.169663439372984e-06
2005-09-25,3.78,4.37,6,-5.695025569502559e-06,3.169663439372984e-06
2005-09-26,3.74,4.35,0,-4.746835443037969e-06,2.9269972451790612e-06
2005-09-27,3.73,4.36,1,-4.815597838853652e-06,3.0480791350356553e-06
2005-09-28,3.76,4.38,2,-1.435574229691877e-05,8.916323731138563e-06
2005-09-29,3.73,4.41,3,-5.1679586563307455e-06,3.335633770416377e-06
2005-09-30,3.71,4.43,4,-5.425807973578673e-06,3.5805035805035777e-06
2005-10-01,3.76,4.45,5,-4.9019607843137265e-06,3.696003696003696e-06
