,Open Bid_x,Open Bid_y,weekday_y,Short Swap USDDKK,Long Swap USDDKK
2005-07-20,3.21,2.09,2,-2.3588553750966758e-05,1.9200316706254947e-05
2005-07-21,3.22,1.98,3,-8.616255144032922e-06,6.5165876777251225e-06
2005-07-22,3.27,1.98,4,-8.66050808314088e-06,6.765547749154304e-06
2005-07-23,3.24,2.09,5,-8.000512032770097e-06,6.551362683438153e-06
2005-07-24,3.24,2.09,6,-8.000512032770097e-06,6.551362683438153e-06
2005-07-25,3.28,1.98,0,-8.704557091653864e-06,6.814641744548285e-06
2005-07-26,3.23,2.11,1,-7.826533230690274e-06,6.6981875492513826e-06
2005-07-27,3.26,2.09,2,-2.3588553750966758e-05,1.9953051643192483e-05
2005-07-28,3.24,2.08,3,-8.064516129032257e-06,6.616876310272539e-06
2005-07-29,3.31,2.07,4,-8.263412153572337e-06,6.702758442897657e-06
2005-07-30,3.32,2.08,5,-8.154943934760446e-06,6.687242798353912e-06
2005-07-31,3.32,2.08,6,-8.154943934760446e-06,6.687242798353912e-06
2005-08-01,3.32,2.08,0,-8.421317244846656e-06,6.687242798353912e-06
2005-08-02,3.37,2.1,1,-8.20707070707071e-06,7.119247393846939e-06
2005-08-03,3.38,2.06,2,-2.6413690476190485e-05,2.13089802130898e-05
2005-08-04,3.44,2.09,3,-8.871757219774842e-06,7.507507507507506e-06
2005-08-05,3.45,2.07,4,-8.952661270542066e-06,7.3657927590511866e-06
2005-08-06,3.48,2.06,5,-9.218825812712276e-06,7.564484126984131e-06
2005-08-07,3.45,2.08,6,-8.974358974358974e-06,7.615480649188517e-06
2005-08-08,3.46,2.07,0,-9.035409035409035e-06,7.722969606377676e-06
2005-08-09,3.45,2.07,1,-9.035409035409035e-06,7.677902621722844e-06
2005-08-10,3.47,2.08,2,-2.7169948942377832e-05,2.311707680835198e-05
2005-08-11,3.45,2.06,3,-9.096459096459095e-06,7.428214731585521e-06
2005-08-12,3.48,2.05,4,-9.116495349975526e-06,7.626488095238097e-06
2005-08-13,3.49,2.07,5,-9.035409035409035e-06,7.856966097500617e-06
2005-08-14,3.45,2.07,6,-9.035409035409035e-06,7.677902621722844e-06
2005-08-15,3.43,1.98,0,-9.50453765023301e-06,7.5244544770504125e-06
2005-08-16,3.42,2.07,1,-8.911012782694198e-06,7.541478129713422e-06
2005-08-17,3.45,2.07,2,-2.7106227106227102e-05,2.3033707865168534e-05
2005-08-18,3.45,2.08,3,-8.974358974358974e-06,7.615480649188517e-06
2005-08-19,3.49,2.09,4,-8.913308913308912e-06,7.733234347933678e-06
2005-08-20,3.48,2.11,5,-8.832846003898639e-06,7.874503968253969e-06
2005-08-21,3.47,2.11,6,-8.874300996839292e-06,7.829977628635351e-06
2005-08-22,3.45,1.98,0,-9.584859584859585e-06,7.615480649188517e-06
2005-08-23,3.47,2.08,1,-9.056649647459277e-06,7.70569226945066e-06
2005-08-24,3.51,1.98,2,-2.8993435448577687e-05,2.3651145602365117e-05
2005-08-25,3.46,2.09,3,-8.954678362573101e-06,7.598405580468358e-06
2005-08-26,3.52,1.98,4,-9.70402717127608e-06,7.92772861356932e-06
2005-08-27,3.51,2.11,5,-8.956669087388042e-06,8.006898250800688e-06
2005-08-28,3.51,2.11,6,-8.956669087388042e-06,8.006898250800688e-06
2005-08-29,3.53,2.09,0,-9.07770515613653e-06,7.910228108903603e-06
2005-08-30,3.47,1.98,1,-9.66447848285923e-06,7.70569226945066e-06
2005-08-31,3.51,2.08,2,-2.7169948942377832e-05,2.3651145602365117e-05
2005-09-01,3.46,1.98,3,-9.624756335282653e-06,7.66068759342302e-06
2005-09-02,3.49,1.98,4,-9.743403534253206e-06,7.79510022271715e-06
2005-09-03,3.5,2.11,5,-8.915574963609899e-06,7.962962962962961e-06
2005-09-04,3.5,2.11,6,-8.915574963609899e-06,7.962962962962961e-06
2005-09-05,3.5,2.08,0,-9.015594541910332e-06,7.839506172839507e-06
2005-09-06,3.46,2.06,1,-9.137426900584795e-06,7.4738415545590435e-06
2005-09-07,3.51,2.06,2,-2.7777777777777772e-05,2.309682187730969e-05
2005-09-08,3.52,2.08,3,-9.25925925925926e-06,7.92772861356932e-06
